Patient,ROI,Scanner,Batch,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
CCR1_GE1,020_00,GE,1,-991,-617,840656944,3.936326993,264,1.721979865,-519,-818.3877976,127.5711122,-823.5,-1010,491,107.3156755,250.0977404,0.221752562,501070072.2,0.09003769,20272.50199,100.493205,21076.26422,166.6491694,110.5238866,18.92783942,0.707668085,3.182722071,3.030498157,7.773328778,0.444282309,0.368808711,0.961765491,0.880751001,-0.236136151,0.876741193,0.182272194,8.808752856,0.0309796,6.938435379,0.154810412,4.864097042,32.36293151,6.923437374,1360.306845,0.101213307,37.42913469,1210.106548,32.29289775,109.6975446,85.81026786,2822.55811,17.69924053,0.0800469,0.108002083,14.62903607,0.004371251,651.8757826,0.062781885,29.40362935,123.8600756,3.175825135,285.6412606,0.356703792,0.056621294,4.845700322,7372.728919,0.68348961,0.770930632,0.810633695,0.833650061,110.563272,0.034765729,111.4566301,0.05556163,24.88068894,134.7018943,235.6380857,9115.908774,46.22798109,0.040026027,225.6251246,0.112475137,0.280581799,37.60908612,0.014618128,7.616295011,0.149255952,190.7494217,11.13586564,0.000659017,291.4313186,0.247912468,0.143068892
CCR1_GE1,020_01,GE,1,-993,-614,842920032,3.980154158,266,1.717114392,-519,-818.9928571,128.9199118,-825,-1015,496,108.116793,250.4341516,0.222358362,502418976.3,0.085814588,20689.33566,101.0459717,21707.85135,170.5896715,111.9290015,19.69551251,0.700782946,3.267498559,3.058649819,7.94723185,0.432380127,0.356416432,0.96035143,0.877893662,-0.232315112,0.874926266,0.19347833,8.831021268,0.026190447,7.042180972,0.138293108,4.926328038,32.90612851,7.001941123,1412.042113,0.105062657,33.06985365,1153.348065,32.87237842,110.0154018,75.86130952,2650.370015,15.75891587,0.090181817,0.115097811,15.63330706,0.005903094,660.1556651,0.062257863,30.5583049,122.3933214,2.944882392,269.4422032,0.347474874,0.070642997,4.860625793,7722.625482,0.701816762,0.786864698,0.719417821,0.843332837,109.5798318,0.048889271,114.6929577,0.053846459,26.63219577,134.8605634,204.8779343,8750.314085,39.65135557,0.052677683,254.1333333,0.119311424,0.293390688,41.22126676,0.017596543,7.568487915,0.158482143,165.0636117,11.24323346,0.000651384,297.2123597,0.259099313,0.140566413
CCR1_GE1,020_02,GE,1,-995,-614,839139951,3.996269666,264,1.724538862,-524,-819.7656994,128.9118545,-826,-1015,491,108.8249618,249.8719837,0.22562293,500165874.8,0.083363671,20724.35872,100.5512926,21822.51129,174.9360975,112.0354157,19.76809959,0.700095255,3.279083952,3.061802716,7.948651213,0.428924106,0.353440688,0.960214058,0.877457113,-0.232501016,0.876300434,0.203014734,8.802486318,0.023994803,7.070092824,0.130253579,4.947189619,32.95087883,7.008227741,1468.369494,0.109253683,31.05946798,1120.407738,32.90501988,109.4948661,71.64508929,2606.795015,14.98772083,0.096031966,0.114597766,14.83031236,0.005968076,662.7542789,0.06205176,30.73675171,120.8425752,2.782116863,255.4939917,0.344159171,0.07759087,4.860246331,7831.659344,0.707169375,0.793435211,0.672125052,0.847867546,108.3915239,0.055616765,114.207619,0.05438458,26.39271542,128.6433333,198.0361905,8745.803333,38.82083127,0.053859941,242.2238095,0.115344671,0.283356488,35.02628959,0.014914627,7.61076151,0.15625,157.0761905,10.95453426,0.000663737,297.4016258,0.260200709,0.140436925
CCR1_GE1,020_03,GE,1,-994,-619,828233838,3.988005781,265,1.732711051,-525,-820.9098214,127.6729438,-827.5,-1015,490,107.0130862,248.2429083,0.224309487,493665331.5,0.084608511,20378.92089,99.00919547,21294.45886,171.6493232,110.5721413,19.13891044,0.70497821,3.222874971,3.050804603,7.739582087,0.432262499,0.357003675,0.961356542,0.879183714,-0.225635624,0.871454754,0.205148401,8.726440775,0.025093352,7.0744699,0.135626301,4.936663787,32.42776294,7.005598736,1428.109077,0.106258116,32.35582868,1137.138393,32.35934709,108.1412946,73.64888393,2509.080283,15.73486342,0.096606786,0.12305943,15.93507365,0.006007304,659.4414959,0.061898891,29.96442753,120.0278786,2.678098652,240.3955543,0.340929059,0.076408193,4.850648526,7733.438448,0.703168078,0.79130609,0.674642006,0.849856824,108.4016978,0.053630515,124.8417523,0.055807668,25.06522262,126.1949039,197.9597675,9261.403219,38.06290572,0.050674951,295.0303979,0.131886633,0.324182993,39.97129951,0.01725246,7.452800889,0.166443452,161.8631449,10.92857183,0.000672628,289.9622786,0.250934952,0.142563995
CCR1_GE1,020_04,GE,1,-993,-606,844713113,3.911600573,275,1.719478839,-521,-819.5639137,130.4309764,-827.5,-1010,489,109.8491169,250.7003751,0.239887366,503487734.8,0.094308811,21056.56467,100.393086,22472.08141,201.2446196,113.9942098,19.86784676,0.70315139,3.245039137,3.054946991,8.258748598,0.444290056,0.370089783,0.960108484,0.879147518,-0.241654864,0.881763827,0.184011281,8.767064743,0.032733621,6.875243713,0.16018946,4.863521828,33.46551415,6.91482993,1361.296875,0.10128697,38.26475805,1267.510417,33.45619012,110.1541667,86.95379464,2737.83125,18.29628029,0.088600599,0.109512461,15.04313503,0.005613278,668.8790166,0.064493071,30.66365802,124.9130001,3.208380825,287.0657806,0.382982779,0.065840137,4.830047625,7404.174508,0.686675617,0.770066392,0.816120879,0.833639356,111.7619988,0.042651704,111.3824975,0.054760323,26.32050036,136.9321534,248.2625369,8844.753196,50.32761482,0.051802271,231.6529007,0.113890315,0.276170474,37.23432411,0.018896947,7.564153203,0.151339286,204.6012391,11.45791466,0.000609869,304.2891658,0.266373734,0.140458568
CCR1_GE1,020_05,GE,1,-995,-605,849764287,3.984964248,276,1.710776535,-515,-819.8445685,131.9847685,-827,-1013,498,111.1698704,251.4488207,0.238436268,506498466,0.086382511,21547.06922,101.1477518,23231.95577,199.7330397,116.0445393,20.65230119,0.697796577,3.337412607,3.090183009,8.391087698,0.429124619,0.354058419,0.958673382,0.875952332,-0.232186474,0.876320917,0.19889308,8.791975223,0.025780605,7.055979842,0.13702172,4.938484233,34.17421013,7.00954037,1473.818006,0.109659078,32.31393814,1160.980952,34.18939267,110.7896577,73.709375,2554.522991,15.84605068,0.103350951,0.114059596,15.50602168,0.006361848,665.1267511,0.062482262,31.98304503,123.0307748,2.88597623,265.3054953,0.377563377,0.084506071,4.860708672,7846.293461,0.709343008,0.790985577,0.706523988,0.847615911,110.5964319,0.061154107,114.2371036,0.054063939,26.86976504,135.6488405,209.4879319,8067.753431,43.93732167,0.054484682,243.199716,0.115096884,0.270572428,36.9888012,0.01615346,7.612265768,0.157217262,169.0303852,11.43239027,0.00063127,306.8344927,0.27858284,0.138630946
CCR1_GE1,020_06,GE,1,-996,-609,844552190,4.022173059,277,1.715356347,-516,-820.6959821,131.4170312,-825,-1014,498,111.2248389,250.6764939,0.241157257,503391817.3,0.083106045,21506.18094,100.4335757,23292.63885,203.9747198,116.04542,20.59674123,0.698403346,3.342845457,3.100828929,8.323833225,0.424674852,0.349529941,0.958765036,0.875622328,-0.219375245,0.866962881,0.207465654,8.75046823,0.023782732,7.171926605,0.131435663,4.968012385,34.16054031,7.030984351,1496.870833,0.111374318,30.65328364,1116.945238,34.21675912,110.2203869,69.50401786,2296.324554,15.45157284,0.10894387,0.124274134,17.17882485,0.005948162,651.0931472,0.060553082,32.07035245,122.2684837,2.608394511,237.637099,0.362214314,0.089502069,4.875650893,7940.489445,0.714469673,0.798729396,0.623340814,0.851658625,110.6813625,0.065099114,126.1172945,0.053988568,25.89035158,133.6909247,180.1960616,6759.549658,38.91657116,0.050079173,312.8715753,0.13393475,0.306234729,42.88623315,0.011645525,7.472228257,0.173809524,147.0941664,11.74615466,0.000656481,301.6326985,0.278309359,0.139211348
CCR1_GE1,020_07,GE,1,-995,-617,829529517,4.003149764,275,1.714517229,-512,-822.0186756,129.285743,-826,-1014,502,108.9823639,248.4370065,0.232590138,494437615.6,0.085431293,20924.4908,98.33002441,22086.46791,189.9693004,113.206825,19.52505713,0.705826853,3.241938351,3.073127358,7.993300352,0.432932146,0.358480743,0.960707605,0.878808017,-0.216053206,0.863669157,0.208211152,8.655028224,0.026094728,7.142975638,0.141221951,4.940791264,33.18297053,7.009108244,1436.697024,0.1068971,33.01863064,1148.196577,33.17312374,108.1733631,74.36525298,2248.973065,16.64364941,0.104826282,0.125917618,16.9809197,0.005590152,642.6905301,0.060337174,30.74824341,121.1596056,2.593421097,227.6773792,0.357233279,0.08325746,4.878601001,7724.555812,0.703633695,0.791145833,0.637322517,0.848424525,109.8628626,0.058366285,129.5098375,0.055393429,24.43426748,130.7587682,191.5106929,7019.004277,40.61240122,0.046302216,325.7031651,0.139308454,0.326636767,43.35971869,0.013446838,7.374108955,0.173958333,158.4654062,11.57663196,0.000675386,288.9752244,0.261293028,0.142287182
CCR1_GE1,020_08,GE,1,-993,-614,858088206,3.971443841,282.25,1.70727934,-503,-817.784375,129.8225721,-819,-1012,509,110.569825,252.6773608,0.227150837,511459903.3,0.091690405,21320.96467,101.9764632,22746.50066,186.5770238,115.132042,19.85224796,0.705621096,3.259550715,3.063318162,8.146044281,0.440615965,0.366265821,0.960088308,0.878482627,-0.230169563,0.871887608,0.187529324,8.840600076,0.0326959,7.028271812,0.162812434,4.871624708,33.7460725,6.927660287,1526.114732,0.113550203,39.52944832,1232.319048,33.88859107,111.924256,86.46622024,2428.630357,18.70561179,0.086846346,0.11346282,15.55088428,0.004784476,627.6449223,0.060413202,30.75780428,127.3423272,3.371976823,309.1751741,0.393737469,0.062917854,4.876714052,7614.792734,0.700862998,0.774948489,0.859725133,0.841061141,114.8786935,0.040132492,105.4404332,0.054378769,25.38417718,138.2980918,258.9819495,8505.196493,53.67389438,0.044931784,204.223311,0.105324039,0.275416912,36.83236127,0.014691482,7.731767866,0.144270833,210.9375334,13.32690432,0.000622944,293.958897,0.266671117,0.142299011
CCR1_GE1,020_09,GE,1,-995,-615,858743225,4.019651656,286,1.702067,-507,-818.8107887,131.1927992,-823,-1014,507,111.2321246,252.7737826,0.231924001,511850324.7,0.087107293,21791.97276,102.089755,23625.11314,197.6192028,117.2137474,20.79659257,0.698504141,3.355863072,3.098382474,8.407497318,0.427826606,0.353171883,0.95839044,0.87531611,-0.220146767,0.863349989,0.200932553,8.83087832,0.026951378,7.170394519,0.14419016,4.937264564,34.502585,7.002989922,1577.549702,0.11737721,33.49685812,1170.722024,34.57457336,111.9268601,74.43876488,2320.546503,16.29871977,0.100854095,0.116904958,15.69504127,0.006265389,637.6513631,0.060038695,32.06045991,124.9085322,3.012951431,281.1109781,0.382384512,0.081176225,4.900397014,7955.840683,0.717212909,0.79235348,0.739736429,0.850984155,112.8798203,0.058026168,111.1190131,0.053758594,25.87818436,135.3928399,220.7982583,7553.369618,46.98617993,0.055648479,222.9932269,0.107882548,0.268541531,34.25530913,0.017594405,7.688698169,0.153794643,178.5199517,13.92055807,0.000615616,300.0635502,0.2807601,0.139461741
